MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,Threeseasonporch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YearSold,SaleType,SaleCondition,LivLotRatio,Spaciousness,TotalOutsideSF,Bldg_Duplex,Bldg_OneFam,Bldg_Twnhs,Bldg_TwnhsE,Bldg_TwoFmCon,PorchTypes
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,141.0,31770.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Average,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,Typical,Typical,CBlock,Typical,Good,Gd,BLQ,2.0,Unf,0.0,441.0,1080.0,GasA,Fair,Y,SBrkr,1656.0,0.0,0.0,1656.0,1,0,1,0,3,1,Typical,7,Typ,2,Good,Attchd,Fin,2,528.0,Typical,Typical,Partial_Pavement,210.0,62.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,,0.0,5,2010,WD ,Normal,0.05212464589235127,236.57142857142858,272.0,0.0,1656.0,0.0,0.0,0.0,2
One_Story_1946_and_Newer_All_Styles,Residential_High_Density,80.0,11622.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Feedr,Norm,OneFam,One_Story,Average,Above_Average,1961,1961,Gable,CompShg,VinylSd,VinylSd,,0.0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6.0,LwQ,144.0,270.0,882.0,GasA,Typical,Y,SBrkr,896.0,0.0,0.0,896.0,0,0,1,0,2,1,Typical,5,Typ,0,No_Fireplace,Attchd,Unf,1,730.0,Typical,Typical,Paved,140.0,0.0,0.0,0.0,120.0,0.0,No_Pool,Minimum_Privacy,,0.0,6,2010,WD ,Normal,0.0770951643434865,179.2,260.0,0.0,896.0,0.0,0.0,0.0,2
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,81.0,14267.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1.0,Unf,0.0,406.0,1329.0,GasA,Typical,Y,SBrkr,1329.0,0.0,0.0,1329.0,0,0,1,1,3,1,Good,6,Typ,0,No_Fireplace,Attchd,Unf,1,312.0,Typical,Typical,Paved,393.0,36.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,Gar2,12500.0,6,2010,WD ,Normal,0.09315202915819724,221.5,429.0,0.0,1329.0,0.0,0.0,0.0,2
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,93.0,11160.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Good,Average,1968,1968,Hip,CompShg,BrkFace,BrkFace,,0.0,Good,Typical,CBlock,Typical,Typical,No,ALQ,1.0,Unf,0.0,1045.0,2110.0,GasA,Excellent,Y,SBrkr,2110.0,0.0,0.0,2110.0,1,0,2,1,3,1,Excellent,8,Typ,2,Typical,Attchd,Fin,2,522.0,Typical,Typical,Paved,0.0,0.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,,0.0,4,2010,WD ,Normal,0.18906810035842295,263.75,0.0,0.0,2110.0,0.0,0.0,0.0,0
Two_Story_1946_and_Newer,Residential_Low_Density,74.0,13830.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Average,Average,1997,1998,Gable,CompShg,VinylSd,VinylSd,,0.0,Typical,Typical,PConc,Good,Typical,No,GLQ,3.0,Unf,0.0,137.0,928.0,GasA,Good,Y,SBrkr,928.0,701.0,0.0,1629.0,0,0,2,1,3,1,Typical,6,Typ,1,Typical,Attchd,Fin,2,482.0,Typical,Typical,Paved,212.0,34.0,0.0,0.0,0.0,0.0,No_Pool,Minimum_Privacy,,0.0,3,2010,WD ,Normal,0.11778741865509762,271.5,246.0,0.0,1629.0,0.0,0.0,0.0,2
Two_Story_1946_and_Newer,Residential_Low_Density,78.0,9978.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Above_Average,Above_Average,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,Typical,Typical,PConc,Typical,Typical,No,GLQ,3.0,Unf,0.0,324.0,926.0,GasA,Excellent,Y,SBrkr,926.0,678.0,0.0,1604.0,0,0,2,1,3,1,Good,7,Typ,1,Good,Attchd,Fin,2,470.0,Typical,Typical,Paved,360.0,36.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,,0.0,6,2010,WD ,Normal,0.16075365804770494,229.14285714285714,396.0,0.0,1604.0,0.0,0.0,0.0,2
One_Story_PUD_1946_and_Newer,Residential_Low_Density,41.0,4920.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,2001,2001,Gable,CompShg,CemntBd,CmentBd,,0.0,Good,Typical,PConc,Good,Typical,Mn,GLQ,3.0,Unf,0.0,722.0,1338.0,GasA,Excellent,Y,SBrkr,1338.0,0.0,0.0,1338.0,1,0,2,0,2,1,Good,6,Typ,0,No_Fireplace,Attchd,Fin,2,582.0,Typical,Typical,Paved,0.0,0.0,170.0,0.0,0.0,0.0,No_Pool,No_Fence,,0.0,4,2010,WD ,Normal,0.27195121951219514,223.0,170.0,0.0,0.0,0.0,1338.0,0.0,1
One_Story_PUD_1946_and_Newer,Residential_Low_Density,43.0,5005.0,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,1992,1992,Gable,CompShg,HdBoard,HdBoard,,0.0,Good,Typical,PConc,Good,Typical,No,ALQ,1.0,Unf,0.0,1017.0,1280.0,GasA,Excellent,Y,SBrkr,1280.0,0.0,0.0,1280.0,0,0,2,0,2,1,Good,5,Typ,0,No_Fireplace,Attchd,RFn,2,506.0,Typical,Typical,Paved,0.0,82.0,0.0,0.0,144.0,0.0,No_Pool,No_Fence,,0.0,1,2010,WD ,Normal,0.25574425574425574,256.0,226.0,0.0,0.0,0.0,1280.0,0.0,2
One_Story_PUD_1946_and_Newer,Residential_Low_Density,39.0,5389.0,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Very_Good,Average,1995,1996,Gable,CompShg,CemntBd,CmentBd,,0.0,Good,Typical,PConc,Good,Typical,No,GLQ,3.0,Unf,0.0,415.0,1595.0,GasA,Excellent,Y,SBrkr,1616.0,0.0,0.0,1616.0,1,0,2,0,2,1,Good,5,Typ,1,Typical,Attchd,RFn,2,608.0,Typical,Typical,Paved,237.0,152.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,,0.0,3,2010,WD ,Normal,0.299870105771015,323.2,389.0,0.0,0.0,0.0,1616.0,0.0,2
Two_Story_1946_and_Newer,Residential_Low_Density,60.0,7500.0,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,OneFam,Two_Story,Good,Average,1999,1999,Gable,CompShg,VinylSd,VinylSd,,0.0,Typical,Typical,PConc,Typical,Typical,No,Unf,7.0,Unf,0.0,994.0,994.0,GasA,Good,Y,SBrkr,1028.0,776.0,0.0,1804.0,0,0,2,1,3,1,Good,7,Typ,1,Typical,Attchd,Fin,2,442.0,Typical,Typical,Paved,140.0,60.0,0.0,0.0,0.0,0.0,No_Pool,No_Fence,,0.0,6,2010,WD ,Normal,0.24053333333333332,257.7142857142857,200.0,0.0,1804.0,0.0,0.0,0.0,2
